Designator,Mid X,Mid Y,Rotation,Layer
@HOLE1_2,176.5103,-116.808934,0.0,top
@HOLE1,120.5103,-112.793734,0.0,top
C1,180.7,-106.35,270.0,bottom
C10,137.85,-109.95,270.0,bottom
C11,145.4,-105.2125,90.0,bottom
C12,121.3,-120.05,180.0,bottom
C13,176.2,-111.7,180.0,bottom
C14,134.5,-112.2,0.0,bottom
C2,142.5125,-95.25,180.0,bottom
C3,166.925,-88.675,0.0,bottom
C4,156.3875,-92.875,180.0,bottom
C5,146.95,-105.2,90.0,bottom
C6,152.925,-105.775,90.0,bottom
C7,176.1625,-98.1,0.0,bottom
C8,151.425,-105.775,90.0,bottom
C9,147.8,-101.2375,90.0,bottom
CN1,148.4503,-128.805934,0.0,top
D1,126.35,-81.8,270.0,top
D5,171.45,-81.025,270.0,top
F2,166.43,-86.495,180.0,bottom
IC1,175.15,-105.80875,0.0,bottom
J1,127.73,-96.7,90.0,top
J2,163.255,-81.0,270.0,top
J7,149.5,-81.8785,180.0,top
J8,119.8,-90.97,180.0,top
R1,123.4725,-96.7,180.0,bottom
R10,118.85,-119.15,270.0,bottom
R2,124.85,-115.8,180.0,bottom
R3,173.65,-82.4,90.0,bottom
R4,149.3,-101.2375,270.0,bottom
R5,126.35,-85.3,270.0,bottom
R9,125.8,-112.7,270.0,bottom
SW1,134.125,-83.425,180.0,top
U1,147.0,-101.375,0.0,top
U3,132.55,-116.78,180.0,bottom
